"Accident_Number","Event_Date","Location","Country","Latitude","Longitude","Airport_Code","Airport_Name","Injury_Severity","Aircraft_Damage","Registration_Number","Make","Model","Schedule","Air_Carrier","Total_Fatal_Injuries","Total_Serious_Injuries","Total_Uninjured","Weather_Condition","Broad_Phase_of_Flight"
"NYC05LA013","10/27/04","Philadelphia, PA","United States","39.871945","-75.241111","PHL","Philadelphia International","Non-Fatal","Substantial","N592ML","Bombardier","CL-600","SCHD","MESA AIRLINES INC (DBA: US Airways Express)","0","0","41","VMC","TAXI"
"CEN09FA094","12/15/08","Chicago, IL","United States","41.980834","-87.906389","ORD","Chicago O'Hare International","Incident","Minor","N511MJ","Bombardier","CL-600","SCHD","Mesa Airlines, Inc","0","0","32","VMC","APPROACH"
"DFW05LA047","12/29/04","Austin, TX","United States","30.201944","-97.666667","AUS","Austin-Bergstrom International","Non-Fatal","","N506MJ","Bombardier","CL-600","SCHD","Mesa Airlines, Inc.","0","1","59","VMC","OTHER"
"DCA07FA037","4/12/07","Traverse City, MI","United States","44.741666","-85.593333","KTVC","Cherry Capitol Airport","Non-Fatal","Substantial","N8905F","Bombardier","CL-600","SCHD","PINNACLE AIR INC (DBA: Northwest Airlink)","0","0","52","IMC","LANDING"
"CHI05FA077","3/11/05","Milwaukee, WI","United States","42.931667","-87.898055","MKE","Milwukee/General Mitchell","Non-Fatal","Substantial","N8932C","Bombardier","CL-600","SCHD","Pinnacle Airlines","0","0","12","IMC","CLIMB"
"DCA05MA031","2/2/05","Teterboro, NJ","United States","","","KTEB","Teterboro NJ","Non-Fatal","Substantial","N370V","Bombardier","CL-600","NSCH","Platinum Jet Managment","0","4","0","VMC","TAKEOFF"
"DCA10IA022","1/19/10","Charleston, WV","United States","","","CRW","Yeager Airport","Incident","Minor","N246PS","Bombardier","CL-600","SCHD","PSA AIRLINES INC (DBA: USAirways Express)","0","0","34","VMC","TAKEOFF"
"DCA12CA035","2/3/12","San Francisco, CA","United States","37.618889","-122.374723","KSFO","San Francisco International","Non-Fatal","Substantial","N912SW","Bombardier","CL-600","SCHD","SkyWest Airlines","0","0","52","VMC","STANDING"
"CHI08LA051","12/16/07","Chicago, IL","United States","41.978611","-87.904722","ORD","Chicago O'Hare Intl","Non-Fatal","Substantial","N918SW","Bombardier","CL-600","SCHD","Skywest Airlines Inc","0","1","32","VMC","TAXI"
"CHI04IA056","1/17/04","Rapid City, SD","United States","44.045277","-103.057222","RAP","Rapid City Regional Airport","Incident","Minor","N595SW","Bombardier","CL-600","SCHD","SKYWEST AIRLINES INC (DBA: Skywest Airlines)","0","0","35","IMC","LANDING"
"ENG10IA055","9/28/10","Milwaukee, WI","United States","42.947222","-87.896666","MKE","GENERAL MITCHELL INTL","Incident","Minor","N498CA","Bombardier","CL-600","SCHD","SKYWEST AIRLINES, Inc.","0","0","39","VMC","LANDING"
"ERA09LA538","9/27/09","Vineyard Haven, MA","United States","41.393055","-70.614444","MVY","Martha's Vineyard","Non-Fatal","Substantial","N190MP","Bombardier","CL-600","","","0","0","4","IMC","LANDING"
"CEN09LA088","12/14/08","Gary, IN","United States","41.616111","-87.412778","GYY","Gary International Airport","Non-Fatal","Substantial","N573BA","Bombardier","CL-600","","","0","0","3","VMC","LANDING"
"NYC01IA024","10/26/00","FALMOUTH, KY","United States","","","","","Incident","","N958CA","Bombardier","CL-600","SCHD","","0","0","50","VMC","CRUISE"
"NYC01LA023A","10/23/00","NEW YORK, NY","United States","","","LGA","LA GUARDIA","Non-Fatal","Substantial","N804CA","Bombardier","CL-600","SCHD","","0","0","81","VMC","TAXI"
"ENG13WA026","5/6/13","Osaka, Japan, Japan","Japan","","","RJOO","Osaka International Airport","Incident","Minor","","Bombardier","CL-600","SCHD","","0","0","55","",""
"DCA09WA031","2/24/09","Santander, Spain","Spain","","","","","Incident","","","Bombardier","CL-600","SCHD","","0","0","","",""
"NYC04LA174","7/21/04","Snow Hill, VA","United States","38.056389","-75.463889","","","Non-Fatal","","N995CA","Bombardier","CL-600","SCHD","","0","1","4","VMC","MANEUVERING"
"LAX03IA199","6/13/03","Phoenix, AZ","United States","33.434166","-112.008056","KPHX","Phoenix Sky Harbor Intl","Incident","","N97325","Bombardier","CL-600","SCHD","","0","0","52","VMC","CLIMB"
"NYC03LA101","5/7/03","Boston, MA","United States","42.366945","-71.008611","BOS","Logan International Airport","Non-Fatal","Substantial","N484CA","Bombardier","CL-600","SCHD","","0","0","3","VMC","STANDING"
"CHI03FA014","10/24/02","Chicago, IL","United States","41.979445","-87.904444","ORD","CHICAGO O'HARE INTL","Non-Fatal","Substantial","N681BR","Bombardier","CL-600","SCHD","","0","0","48","VMC","TAXI"
"DCA16WA045","1/8/16","Kiruna, Sweden","Sweden","","","","","Fatal(2)","Destroyed","","Bombardier","CL-600","","","2","0","","",""
"ENG13WA044","9/7/13","Moscow, Russia","Russia","","","","","Incident","","","Bombardier","CL-600","","","0","0","10","",""
"DCA13WA050","1/29/13","Almaty, Kazakhstan","Kazakhstan","","","","","Fatal(21)","Destroyed","","Bombardier","CL-600","SCHD","","21","0","","",""
"DCA13WA003","10/16/12","Lorient, France","France","","","","","Incident","Minor","","Bombardier","CL-600","SCHD","","0","0","57","",""
"DCA15WA182","7/27/15","Makassar, Indonesia","Indonesia","","","","","Incident","","","Bombardier","CL-600","","","0","0","98","","TAXI"
"ATL03IA126","8/13/03","Raleigh Durham, NC","United States","35.883056","-78.790277","RDU","Raleigh Durham International","Incident","Minor","N451CA","Bombardier","CL-600","SCHD","","0","0","23","VMC","CRUISE"
"NYC02IA097","5/8/02","Covington, KY","United States","39.046111","-84.662222","","","Incident","","N709CA","Bombardier","CL-600","SCHD","","0","0","18","IMC","CRUISE"
"DCA05RA010","11/21/04","Baotou, China","China","","","","","Fatal(55)","Destroyed","","Bombardier","CRJ-200","SCHD","","55","0","","VMC",""
"ENG11WA045","8/15/11","Lyon, France, France","France","","","LYS","Lyon Saint Exupery Airport","Incident","Minor","","Bombardier","CRJ-700","SCHD","","0","0","","",""
"ENG11RA042","7/21/11","Edinburgh, United Kingdom","United Kingdom","","","","","Incident","","","Bombardier","DHC-8","SCHD","","0","0","","",""
"ENG10RA017","12/21/09","London, United Kingdom","United Kingdom","","","LGW","London Gatwick","Incident","Minor","","Bombardier","DHC-8","SCHD","","0","0","","",""
"SEA03FA024","1/8/03","Medford, OR","United States","42.446944","-122.860556","MFR","Rogue Valley Int.","Non-Fatal","Substantial","N409QX","Bombardier","DHC-8","SCHD","","0","1","31","VMC","APPROACH"
"LAX05FA202","6/12/05","Los Angeles, CA","United States","33.9425","-118.408056","LAX","Los Angeles International Airp","Non-Fatal","Substantial","N960SW","Bombardier","CL-600","SCHD","","0","0","17","VMC","APPROACH"
"DCA13CA066","12/5/12","New York, NY","United States","40.777223","-73.8725","KLGA","LaGuardia","Non-Fatal","Substantial","N411ZW","Bombardier","CL-600","SCHD","Air Wisconsin (DBA: US Airways Express)","0","0","3","VMC","APPROACH"
"ERA11CA010","10/4/10","New York, NY","United States","40.773056","-73.870278","LGA","La Guardia Airport","Non-Fatal","","N414ZW","Bombardier","CL-600","SCHD","Air Wisconsin Airlines Corporations (DBA: US Airways Express)","0","1","52","VMC","STANDING"
"CEN12LA457","7/18/12","Peoria, IL","United States","40.664167","-89.693333","PIA","General Downing-Peoria","Non-Fatal","","N502AE","Bombardier","CL-600","SCHD","AMERICAN EAGLE AIRLINES INC (DBA: AMERICAN EAGLE AIRLINES, INC.)","0","1","56","VMC","APPROACH"
"ERA09IA338","6/11/09","Atlanta, GA","United States","33.636666","-84.428056","ATL","Hartsfield Jackson ATL Inter.","Incident","Minor","N857AS","Bombardier","CL-600","SCHD","Atlantic Southeast Airlines","0","0","22","VMC","LANDING"
"CEN11IA615","9/1/11","Baton Rouge, LA","United States","30.532778","-91.149722","BTR","Baton Rouge Metropolitan","Incident","Minor","N875AS","Bombardier","CL-600","SCHD","ATLANTIC SOUTHEAST AIRLINES INC","0","0","53","VMC","LANDING"
"ENG15IA024","6/5/15","Windsor Locks, CT","United States","41.939166","-72.683334","BDL","BRADLEY INTL","Incident","Minor","N363PH","Bombardier","DHC-8","SCHD","CHAMPLAIN ENTERPRISES INC (DBA: CommutAir - United Express)","0","0","37","VMC","APPROACH"
"ERA09LA529","8/29/09","","United States","","","","Unknown","Unavailable","Substantial","N367PH","Bombardier","DHC-8","SCHD","CHAMPLAIN ENTERPRISES INC (DBA: CommutAir)","0","0","","","UNKNOWN"
"DCA12FA058","4/7/12","Houston, TX","United States","29.9775","-95.333334","IAH","Geoarge Bush Intercontinental","Non-Fatal","Substantial","N213WQ","Bombardier","DHC-8","SCHD","COLGAN AIR INC","0","0","35","VMC","LANDING"
"DCA09MA027","2/12/09","Clarence Center, NY","United States","43.011111","-78.634722","BUF","Buffalo-Niagara International","Fatal(50)","Destroyed","N200WQ","Bombardier","DHC-8","SCHD","COLGAN AIR INC (DBA: Continental Connection)","50","0","","VMC","APPROACH"
"DCA12CA122B","8/10/12","Dulles, VA","United States","38.9475","-77.45","IAD","Washington Dulles Internationa","Non-Fatal","Substantial","N341NG","Bombardier","DHC-8","SCHD","COLGAN AIR INC (DBA: United Express)","0","0","270","VMC","STANDING"
"ENG11IA021","3/17/11","Pittsburgh, PA","United States","40.431667","-80.034444","","N/A","Incident","Minor","N339NG","Bombardier","DHC-8","SCHD","Colgan Air, Inc.","0","0","40","UNK",""
"CEN10IA219","4/18/10","Kansas City, MO","United States","39.298333","-94.713333","","","Incident","","N160GJ","Bombardier","CL-600","SCHD","GOJET AIRLINES LLC (DBA: United Express)","0","0","70","VMC","CLIMB"
"WPR11LA042","11/8/10","Los Angeles, CA","United States","34.236389","-118.339722","LAX","Los Angeles International","Non-Fatal","Substantial","N422QX","Bombardier","DHC-8","SCHD","HORIZON AIR INDUSTRIES INC","0","0","77","VMC","DESCENT"
"ERA11CA327","6/5/11","Florence, SC","United States","34.071111","-79.889444","","NONE","Non-Fatal","","N929LR","Bombardier","CL-600","SCHD","Mesa Airlines (DBA: US Airways Express)","0","1","88","VMC","DESCENT"
"CEN11LA099B","12/4/10","Chicago, IL","United States","41.981389","-87.906667","ORD","Chicago O'Hare IAP","Non-Fatal","Substantial","N502MJ","Bombardier","CL-600","SCHD","MESA AIRLINES INC","0","0","37","VMC","STANDING"
"DCA15CA131","6/10/15","McCook, NE","United States","39.497222","-102.193889","","N/A","Non-Fatal","","N246LR","Bombardier","CL-600","SCHD","MESA AIRLINES INC","0","1","75","UNK",""
"CHI08IA119","4/24/08","Minneapolis, MN","United States","44.881945","-93.221667","MSP","Minneapolis-St Paul Intl.","Incident","","N918XJ","Bombardier","CL-600","SCHD","MESABA AVIATION INC","0","0","80","IMC","TAXI"
"CEN11IA264","3/30/11","Detroit, MI","United States","42.212222","-83.353333","DTW","Detroit Metro - Wayne County","Incident","","N8505Q","Bombardier","CL-600","SCHD","PINNACLE AIRLINES INC","0","0","27","VMC","UNKNOWN"
"DCA09FA011","11/13/08","Detroit, MI","United States","42.210833","-83.360278","DTW","Detroit Metropolitan Wayne Cou","Non-Fatal","Substantial","N8698A","Bombardier","CL-600","SCHD","Pinnacle Airlines, Inc (DBA: Northwest Airlink)","0","0","20","IMC","TAXI"
"CEN11LA051","11/2/10","Chicago, IL","United States","41.978611","-87.904722","ORD","O'Hare International","Non-Fatal","Substantial","N709BR","Bombardier","CL-600","SCHD","SKYWAY AIRLINES INC","0","0","37","VMC","STANDING"
"ERA11CA046","11/2/10","Pittsburgh, PA","United States","40.488055","-80.226389","PIT","Pttsburgh International Airpor","Non-Fatal","Substantial","N454SW","Bombardier","CL-600","SCHD","SkyWest Airlines","0","0","41","VMC","STANDING"
"WPR11IA019","10/18/10","Phoenix, AZ","United States","33.434444","-112.011667","PHX","Phoenix Sky Harbor Intl.","Incident","Minor","N938SW","Bombardier","CL-600","SCHD","SkyWest Airlines (DBA: United Express)","0","0","53","VMC","STANDING"
"CEN11IA379","6/6/11","Milwaukee, WI","United States","42.951667","-87.894166","MKE","GENERAL MITCHELL INTL","Incident","Minor","N866AS","Bombardier","CL-600","SCHD","SKYWEST AIRLINES INC","0","0","44","VMC","LANDING"
"WPR10IA256","5/23/10","Ontario, CA","United States","34.055833","-117.601111","ONT","Ontario International Airport","Incident","Minor","N925SW","Bombardier","CL-600","SCHD","SKYWEST AIRLINES INC","0","0","27","VMC","LANDING"
"WPR11LA058","11/23/10","Salt Lake City, UT","United States","40.788333","-111.977778","SLC","Salt Lake City","Non-Fatal","Substantial","N614SK","Bombardier","CL-600","SCHD","SKYWEST AIRLINES INC (DBA: Delta Connection)","0","0","69","IMC","TAXI"
"DCA13CA008","10/17/12","Kabul, Afghanistan","Afghanistan","34.566667","69.201389","OAKB","Kabul International Airport","Non-Fatal","Substantial","N800AW","Bombardier","DHC-8","NSCH","","0","0","7","VMC","LANDING"
"ERA15WA034","11/11/13","Charallave, Venezuela","Venezuela","10.29","-66.815","SVCS","Oscar Machado Zuloaga","Non-Fatal","Substantial","N54VS","Bombardier","CL-600","","","0","0","2","",""
"OPS09IA005A","5/29/09","Charlotte, NC","United States","35.213889","-80.943055","CLT","Charlotte/Douglas Internationa","Incident","","","Bombardier","CL-600","SCHD","","0","0","","VMC","TAKEOFF"
"OPS11IA552B","5/16/11","CHICAGO, IL","United States","","","KORD","Chicago Oäó»Hare International","Incident","","","Bombardier","CL-600","SCHD","","0","0","63","VMC","APPROACH"
"OPS10IA163A","4/29/10","Burbank, CA","United States","","","BUR","Bob Hope Airport","Incident","","","Bombardier","CL-600","SCHD","","0","0","","VMC","APPROACH"
"OPS08IA015A","9/19/08","Allentown, PA","United States","","","ABE","Allentown / Lehigh Valley Intl","Incident","","","Bombardier","CL-600","SCHD","","0","0","63","VMC","TAKEOFF"
"DCA15WA174A","8/3/15","Toronto, Canada","Canada","","","","","Incident","","N272PQ","Bombardier","CL-600","","","0","0","","","LANDING"
"OPS09IA009A","6/26/09","Cleveland, OH","United States","","","CLE","Cleveland/Hopkins Int'l Airpor","Incident","","","Bombardier","DHC-8","SCHD","","0","0","66","VMC","TAKEOFF"
"ENG15RA010","12/16/14","Belfast, N Ireland, United Kingdom","United Kingdom","","","","","Incident","","","Bombardier","DHC-8","","","0","0","","","CRUISE"
"DCA05IA072","6/9/05","colorado spring, CO","United States","","","","","Incident","","CGJAZ","Bombardier","CL-600","SCHD","Air Canada Jazz","0","0","66","","CRUISE"
"DCA05MA071","5/31/05","Chicago O'Hare, IL","United States","","","ORD","Chicago O'Hare International","Non-Fatal","Minor","N417AW","Bombardier","CL-600","SCHD","Air Wisconsin Airlines Corporation (DBA: United Express)","0","1","26","VMC","STANDING"
"DCA06MA064","8/27/06","Lexington, KY","United States","","","LEX","BLUE GRASS","Fatal(49)","Destroyed","N431CA","Bombardier","CRJ-200","SCHD","COMAIR INC","49","1","","VMC","TAXI"
"SEA05LA184B","8/29/05","Portland, OR","United States","45.588611","-122.5975","PDX","Portland International","Non-Fatal","Substantial","N363PH","Bombardier","DHC-8","SCHD","Horizon Air","0","0","270","VMC","STANDING"
"SEA08IA080","2/13/08","Hilo, HI","United States","19.622223","-154.863889","PHTO","Hilo International Airport","Incident","","N651BR","Bombardier","CL-600","SCHD","Mesa Airlines (DBA: GO)","0","0","43","VMC","CLIMB"
"DEN07IA055","1/25/07","Cripple Creek, CO","United States","38.739722","-105.304166","","","Incident","Minor","N17337","Bombardier","CL-600","SCHD","MESA AIRLINES INC","0","0","54","VMC","CLIMB"
"LAX06LA154","4/30/06","Las Vegas, NV","United States","36.08","-115.152222","LAS","Mc Carran International","Non-Fatal","Substantial","N909FJ","Bombardier","CL-600","SCHD","Mesa Airlines, Inc.","0","0","89","VMC","TAXI"
"LAX07IA191","6/13/07","Phoenix, AZ","United States","33.434444","-112.011667","PHX","Pheonix Sky Harbor Intl.","Incident","","N7264V","Bombardier","CL-600","SCHD","Mesa Airlines, Inc. (DBA: US Airways Express)","0","0","53","VMC","STANDING"
"ATL06IA054","3/19/06","Asheville, NC","United States","35.436111","-82.541666","AVL","Asheville Regional Airport","Incident","Minor","N8783E","Bombardier","CL-600","SCHD","Pinnacle Airlines, Inc (DBA: Northwest Air Link)","0","0","33","VMC","CLIMB"
"NYC08LA234B","6/28/08","Charlotte, NC","United States","35.213889","-80.943055","CLT","Charlotte-Douglas","Non-Fatal","Substantial","N228PS","Bombardier","CL-600","SCHD","PSA AIRLINES INC (DBA: US Airways Express)","0","0","112","VMC","STANDING"
"NYC08LA234A","6/28/08","Charlotte, NC","United States","35.213889","-80.943055","CLT","Charlotte-Douglas","Non-Fatal","Substantial","N725PS","Bombardier","CL-600","SCHD","PSA Airlines Inc. (DBA: US Airways Express)","0","0","112","VMC","TAXI"
"CHI06IA011","10/17/05","West Grove, PA","United States","39.839166","-75.816945","","","Incident","Minor","N244PS","Bombardier","CL-600","SCHD","PSA Airlines, Inc. (DBA: US Airways Express)","0","0","51","VMC","CLIMB"
"DEN08FA072","4/8/08","Colorado Spring, CO","United States","38.805556","-104.700556","","","Non-Fatal","Substantial","N483BA","Bombardier","CL-600","","","0","0","5","VMC","TAKEOFF"
"NYC07LA018","10/31/06","Teterboro, NJ","United States","40.886111","-74.386389","TEB","Teterboro Airport","Non-Fatal","","N322FX","Bombardier","CL-600","","","0","1","2","VMC","CRUISE"
"NYC07RA064","2/13/07","Moscow, Russia","Russia","","","","","Non-Fatal","Destroyed","N168CK","Bombardier","CL-600","","","0","2","","IMC",""
"LAX07CA077","1/31/07","Kaunakakai, HI","United States","21.150278","-157.096666","","","Non-Fatal","","N979HA","Bombardier","DHC-8","","","0","1","5","VMC","DESCENT"
"SEA08LA061A","1/13/08","San Francisco, CA","United States","37.618889","-122.374723","KSFO","San Francisco International","Non-Fatal","Substantial","N705SK","Bombardier","CL-600","SCHD","","0","0","61","VMC","TAXI"
"DEN08LA010","10/12/07","Denver, CO","United States","39.861667","-104.673056","DEN","Denver International","Non-Fatal","Substantial","N368CA","Bombardier","CL-600","SCHD","","0","0","74","VMC","TAKEOFF"
"CHI06LA016","10/26/05","Covington, KY","United States","39.046111","-84.663889","CVG","Cincinnati / Northern Kentucky","Non-Fatal","","N391CA","Bombardier","CL-600","SCHD","","0","1","24","VMC","STANDING"
"NYC06LA099","4/15/06","Front Royal, VA","United States","38.964722","-78.3625","","","Non-Fatal","","N934EV","Bombardier","CL-600","SCHD","","0","1","50","VMC","DESCENT"
"OPS08IA002A","12/2/07","Baltimore, MD","United States","39.175278","-76.668334","BWI","BALTIMORE-WASHINGTON INTL","Incident","","","Bombardier","CRJ-200","SCHD","","0","0","184","VMC","TAKEOFF"
"FTW95IA156","4/3/95","DFW AIRPORT, TX","United States","","","DFW","DALLAS/FORT WORTH","Incident","Minor","XASIJ","Boeing","727","NSCH","(DBA: AEROEXO)","0","0","158","VMC","CLIMB"
"CHI97IA096","3/22/97","MANAUS, Brazil","Brazil","","","SBEG","EDUARDO GOMEZ AIRPORT","Incident","Minor","N707CK","Boeing","747","NSCH","(DBA: AIA)","0","0","7","VMC","LANDING"
"SEA00LA094A","5/24/00","SEATTLE, WA","United States","","","BFI","KING CO INTL/BOEING FIELD","Non-Fatal","","N767AX","Boeing","767","NSCH","(DBA: AIRBORNE EXPRESS)","0","0","4","VMC","TAXI"
"ANC98LA122","8/14/98","JUNEAU, AK","United States","","","JNU","JUNEAU INTERNATIONAL","Non-Fatal","Substantial","N799AS","Boeing","737","SCHD","(DBA: ALASKA AIRLINES, INC)","0","0","145","VMC","LANDING"
"ANC01LA018","11/13/00","ANCHORAGE, AK","United States","","","","","Non-Fatal","","N611AS","Boeing","737","SCHD","(DBA: ALASKA AIRLINES)","0","1","99","VMC","DESCENT"
"MIA96FA068B","1/23/96","MIAMI, FL","United States","","","MIA","MIAMI INTERNATIONAL","Non-Fatal","Substantial","IDEML","Boeing","747","SCHD","(DBA: ALITALIA)","0","0","459","VMC","TAXI"
"FTW95LA167","4/11/95","SAN ANTONIO, TX","United States","","","SAT","SAN ANTONIO INTERNATIONAL","Non-Fatal","","N683A","Boeing","757","SCHD","(DBA: AMERICAN AIRLINES, INC.)","0","1","129","VMC","OTHER"
"CHI98LA127","4/19/98","CHICAGO, IL","United States","","","ORD","O'HARE INTERNATIONAL","Non-Fatal","Minor","N722AA","Boeing","727","SCHD","(DBA: AMERICAN AIRLINES)","0","1","153","VMC","STANDING"
"FTW00LA244","8/23/00","GULF OF MEXICO","","","","","","Non-Fatal","Minor","N657AM","Boeing","757","SCHD","(DBA: AMERICAN AIRLINES)","0","1","54","IMC","CRUISE"
"CHI99IA204","6/29/99","CHICAGO, IL","United States","","","ORD","O'HARE INTERNATIONAL","Incident","Minor","N384AA","Boeing","767","SCHD","(DBA: AMERICAN AIRLINES)","0","0","186","VMC","TAXI"
"MIA00LA271","9/26/00","MIAMI, FL","United States","","","MIA","MIAMI INTERNATIONAL","Non-Fatal","","N789AN","Boeing","777","SCHD","(DBA: AMERICAN AIRLINES)","0","1","167","VMC","DESCENT"
"CHI00LA268","8/22/00","BARABOO, WI","United States","","","","","Non-Fatal","","N785AN","Boeing","777","SCHD","(DBA: AMERICAN AIRLINES)","0","1","250","IMC","DESCENT"
"LAX95IA229","6/29/95","ELKO, NV","United States","","","","","Incident","Minor","N457TM","Boeing","737","SCHD","(DBA: CASINO EXPRESS)","0","0","84","VMC","DESCENT"
"IAD96IA044","2/20/96","WASHINGTON, DC","United States","","","DCA","WASHINGTON NATIONAL","Incident","Minor","N33202","Boeing","737","SCHD","(DBA: CONTINENTAL AIRLINES)","0","0","79","IMC","LANDING"
"FTW97FA255","7/6/97","ALBUQUERQUE, NM","United States","","","ABQ","ALBUQUERQUE INTERNATIONAL","Non-Fatal","Substantial","N2809W","Boeing","727","SCHD","(DBA: DELTA AIR LINES, INC.)","0","0","153","VMC","LANDING"
"NYC99LA064","2/22/99","COVINGTON, KY","United States","","","CVG","CINCINNATI INTERNATION","Non-Fatal","Substantial","N682DA","Boeing","757","SCHD","(DBA: DELTA AIR LINES)","0","0","132","VMC","TAKEOFF"
"MIA00LA267","9/20/00","ATLANTA, GA","United States","","","","","Non-Fatal","","N172DZ","Boeing","767","SCHD","(DBA: DELTA AIRLINES INC.)","0","3","230","VMC","DESCENT"
"MIA99LA272","9/27/99","ATLANTA, GA","United States","","","","","Non-Fatal","","N196DN","Boeing","767","SCHD","(DBA: DELTA AIRLINES)","0","1","201","IMC","MANEUVERING"
"NYC96IA131","6/25/96","JAMAICA, NY","United States","","","","","Incident","Minor","N185DN","Boeing","767","SCHD","(DBA: DELTA AIRLINES)","0","0","229","VMC","TAKEOFF"
"LAX96IA199","5/19/96","LOS ANGELES, CA","United States","","","","","Incident","Minor","N470EV","Boeing","747","SCHD","(DBA: EVERGREEN INT'L AIRLINES, INC.)","0","0","3","VMC","CLIMB"
"FTW97IA084","1/21/97","OKLAHOMA CITY, OK","United States","","","OKC","WILL ROGERS WORLD","Incident","","N198FE","Boeing","727","SCHD","(DBA: FEDERAL EXPRESS)","0","0","4","VMC","CLIMB"
"MIA96LA107","3/27/96","MEMPHIS, TN","United States","","","MEM","MEMPHIS INTERNATIONAL","Non-Fatal","Substantial","N468FE","Boeing","727","NSCH","(DBA: FEDEX)","0","0","3","VMC","TAXI"
"CHI97LA078","3/2/97","CHICAGO, IL","United States","","","","","Non-Fatal","","N755AT","Boeing","757","SCHD","(DBA: MEXICANA AIRLINES)","0","4","180","VMC","DESCENT"
"LAX99IA072","1/5/99","PHOENIX, AZ","United States","","","KPHX","PHOENIX SKY HARBOR","Incident","Minor","N804MA","Boeing","727","NSCH","(DBA: MIAMI AIR INTERNATIONAL)","0","0","180","VMC","TAKEOFF"
"MIA98FA112","3/30/98","FORT LAUDERDALE, FL","United States","","","FLL","FT. LAUDERDALE/HOLLYWOOD","Non-Fatal","Minor","CFRYS","Boeing","727","NSCH","(DBA: ROYAL AIRLINES)","0","3","177","VMC","TAKEOFF"
"FTW97IA161","4/20/97","HOUSTON, TX","United States","","","IAH","HOUSTON INTERCONTINENTAL","Incident","Minor","PHBUL","Boeing","747","SCHD","(DBA: ROYAL DUTCH AIRLINES)","0","0","299","VMC","TAXI"
"FTW99LA207","6/25/99","LAFAYETTE, LA","United States","","","","","Non-Fatal","","N650SW","Boeing","737","SCHD","(DBA: SOUTHWEST AIRLINES)","0","1","141","IMC","CRUISE"
"NYC95IA192","8/14/95","JAMAICA, NY","United States","","","","","Incident","Minor","N603FF","Boeing","747","SCHD","(DBA: TOWER AIR)","0","0","436","VMC","CLIMB"
